user_id,item_list
0,5085 8486 1789 19062 4927 1447 25878 6961 7908 13884
1,23600 12409 19089 19709 8894 8431 23244 3165 6198 12119
2,15427 14031 21626 9547 2824 4842 11548 13251 14353 8877
3,12473 6649 22487 3942 16834 7749 9528 3 519 16086
4,1611 9243 19843 9578 9295 12474 19704 4294 13864 7704
5,8097 8322 7494 11535 12602 18399 2459 11517 16172 19152
6,23906 25044 4824 13102 1136 18173 1848 14356 24801 10355
7,4209 7398 17336 23923 24919 20148 11076 18359 17332 4314
8,6878 21123 24670 624 19056 13629 10560 13143 25407 13711
9,9609 14038 19057 15562 7995 19346 8785 15318 15782 5741
10,12906 3556 11361 15195 11404 13280 22923 23361 24567 1302
11,22956 7856 21630 2957 16099 4293 12788 6015 3220 4661
12,2823 7796 1592 2173 20211 24007 12494 2281 9054 2757
13,20969 15304 1770 17229 6446 24318 16535 19468 3067 18028
14,18500 13169 15748 21375 20644 16728 3641 1282 18499 555
15,12903 12643 1205 4025 2099 11851 16796 21419 22817 5076
16,7913 17514 12684 8400 921 21416 886 20695 18481 15015
17,5942 17723 12409 9438 20404 20146 18687 15001 25675 19089
18,12048 22385 18793 7472 5032 10847 18649 20300 13609 19190
19,7991 16928 9555 2426 7095 10981 15691 4878 6327 23154
20,15398 23465 13616 8606 24785 18645 15234 15988 9941 18021
21,18901 23778 16803 18788 3875 13138 24038 21139 24366 9869
22,6616 3689 10005 17899 11597 10235 7331 23206 1668 13494
23,988 6200 17836 16496 11293 6454 17143 23562 23837 24068
24,14291 13310 6551 24208 2261 5227 15695 18904 13797 12812
25,7115 18684 12844 1133 7055 983 10640 15444 12385 16844
26,22588 19450 11518 21975 2255 15549 23056 477 18395 22974
27,19357 57 5562 17820 3711 9404 23628 8158 5832 21527
28,13424 6551 23020 615 1393 3376 12511 23056 13307 2233
29,5078 25957 9336 5765 3755 5193 21428 16688 16538 2978
30,11384 24621 8544 18274 1480 25662 16547 18560 24458 17718
31,2001 13226 23651 23468 13593 23593 19340 10162 2185 19307
32,9620 1573 10640 18574 290 983 7115 12245 13868 5671
33,10269 4475 9438 25675 9851 14152 23780 10953 17409 12061
34,1803 21677 4127 5446 1700 21505 2920 3477 7581 3658
35,9620 23430 823 12844 13078 10640 9863 139 8186 32
36,1583 25407 2426 15691 22848 16928 624 9701 6734 10908
37,24075 10528 23725 17474 271 12365 1504 4433 3620 1008
38,1863 24257 21062 14385 19822 15434 13628 25736 7266 1151
39,6139 21872 16648 2220 7321 2178 24524 16871 20341 1114
40,22554 25260 10786 306 24075 20238 22445 12389 10035 18293
41,7059 1957 10716 4625 5665 1041 2271 2951 9047 6581
42,13870 722 16626 20553 20544 13663 17787 5952 24070 12182
43,5466 16957 19112 1252 21468 20884 780 3469 8818 8366
44,5093 17470 8475 16473 3214 20239 6085 19886 12741 21975
45,11658 21049 19525 19487 12648 22638 12872 11904 2659 12741
46,9029 23536 4620 18190 15459 13541 3983 11792 10450 4966
47,18852 21912 4032 19326 19281 6369 23975 17340 16124 6954
48,4781 24985 5284 13552 10626 21071 10418 19874 13178 303
49,18549 5787 25253 12585 17320 17316 17317 17314 4302 25494
