user_id,item_list
0,7908 24573 13884 22445 3301 13005 14168 9772 413 2890
1,12119 6198 12561 24502 21578 25619 10179 8097 9142 8707
2,14353 5593 8877 1565 18003 16333 1353 22865 21613 4401
3,519 13592 12157 17510 4750 6253 16086 17174 9462 825
4,5191 13864 7704 12587 6397 20097 3162 17097 18867 17336
5,16172 17819 15150 22517 9301 25285 9090 14378 10284 23328
6,426 3569 24801 25930 21470 8041 11295 24033 19445 4438
7,17332 4314 8104 10195 13840 20620 11300 4228 13759 7238
8,14059 9316 1014 18148 13345 24317 11991 4044 13091 3502
9,3699 5741 1376 15782 25779 8890 5045 12375 3742 17092
10,12906 14968 3556 24567 4413 21303 1302 4462 3168 5478
11,4661 16175 13119 298 12133 3220 9416 9010 21948 25687
12,4113 9054 5226 7322 12676 20159 6235 10021 2591 6573
13,14993 13631 18028 25743 12123 3067 23339 10278 21966 4657
14,20644 555 18499 25649 3641 23426 6062 12584 21541 10914
15,1306 22817 22756 23488 21611 3582 5937 18482 113 12014
16,18481 15015 21310 22480 6261 204 6719 21530 12920 25585
17,9301 15150 12119 23150 5571 6065 13668 18029 11829 4519
18,23697 13609 23328 20333 19190 76 12316 24064 7448 12374
19,6327 9811 10895 4660 9203 2426 24316 992 8650 2993
20,6893 9941 18021 14523 16544 9633 14132 6868 9371 25060
21,18788 23778 24366 3875 19198 12344 600 9869 16803 13138
22,17899 1668 6616 13494 15330 20163 3560 9836 10072 8369
23,2094 6125 21806 3547 24068 10247 15298 21413 18368 25018
24,13797 16101 4882 12812 351 4052 8957 25739 7110 6521
25,12385 24452 7405 6749 1050 21387 16844 8942 11909 10848
26,13696 22974 9085 5367 2538 25697 3751 14243 18395 16583
27,22270 1993 17069 15535 15159 16188 10054 21826 317 2430
28,19424 15620 7920 9220 8673 9773 8416 4179 21523 13307
29,16774 16538 15925 19730 7065 9213 17069 19405 8917 4167
30,9368 17718 17762 15875 11676 17144 16028 21945 4101 19717
31,15489 1002 988 6200 24878 19307 13332 24519 12256 23481
32,290 20341 9288 16209 10180 22444 5921 23962 14615 14959
33,17409 21077 20174 7758 13493 13748 3168 16420 9872 23567
34,7581 2804 21870 20068 13860 19118 11944 15253 10921 19409
35,32 14826 5948 19630 20465 2922 9352 20895 12127 500
36,16928 9592 22557 11997 22651 4604 1954 19319 17971 25260
37,3647 11889 13658 9187 3620 16056 14755 1008 3626 13926
38,7266 1151 14913 1605 7108 20738 5616 9831 3496 24970
39,1114 5663 20341 13296 9288 10180 24473 17102 5921 4728
40,17651 8264 9832 1175 402 7395 24068 6542 9855 998
41,13339 18661 7624 1198 12797 3676 1847 14405 10336 10195
42,20321 1020 24070 12182 23014 17674 10755 3707 24168 12227
43,12696 966 552 23854 8256 4720 15536 20323 11155 8818
44,25355 7418 15186 11900 22480 5758 20658 17543 663 561
45,19487 16948 17543 20658 561 2659 25580 1230 23890 18950
46,9670 2229 6705 8389 19142 159 6556 2745 14912 8750
47,6954 20837 9257 20598 4032 8144 15955 19326 17349 16124
48,22653 13178 4781 23563 6920 20781 303 1712 16893 21071
49,12585 4302 1738 22757 23846 24746 8904 23957 21443 1410
50,6327 7727 7991 22557 9592 4604 2426 24316 7127 861
51,21773 20022 22171 413 11258 16710 1346 6332 14677 21466
52,13194 6253 23510 17125 11449 12396 20948 10165 20626 18736
53,17874 11115 10488 17697 11134 21008 22126 16790 19632 17339
54,17525 19989 15443 2340 10238 14390 1861 3499 10434 15081
55,17635 5973 18124 17356 18131 16197 14158 21782 15180 11060
56,179 11741 13336 19692 18902 14841 20832 25877 10748 18173
57,636 7968 2301 1851 10562 10861 17703 9674 24388 13195
58,1259 5930 6648 2806 11705 1274 8803 14041 11143 18022
59,10282 2846 8531 18927 11867 14002 14380 9754 129 7922
60,19507 15172 22452 12014 23324 5681 23325 4249 16060 9486
61,8914 470 9041 7007 14372 18413 22023 20948 9413 13845
62,22079 10284 10311 25677 2634 11527 19150 7035 24138 12914
63,557 13502 25327 24186 8321 8654 5982 10540 2760 974
64,8212 15350 24285 4272 18345 14216 11605 21638 18925 1814
65,1628 3346 5391 19997 15059 11674 2848 18782 25819 24628
66,2097 12389 7730 9363 7194 2917 18815 988 18506 24878
67,14565 19874 6838 13096 13349 7832 4299 19863 19983 2742
68,4502 14912 6588 8756 16767 3074 6556 19142 24863 3518
69,6907 10417 14621 14214 5189 5742 12711 16526 10563 7748
