user_id,item_list
0,1447 25878 4927 13884 13219 9851 12543 1560 5161 15830
1,19089 23600 12409 20095 16630 19709 3165 19480 8894 8431
2,14353 2824 8877 5566 16333 5593 3164 1565 4842 18003
3,22487 12473 3942 24075 20905 5412 17820 18569 24093 6649
4,9243 1611 14271 11384 9295 4927 16767 19704 13427 18692
5,8097 16172 17819 7494 14706 19152 8322 7013 12214 24355
6,25044 24383 23906 4824 24801 10745 1282 14020 17252 16443
7,17332 13840 4314 8104 8499 7646 19189 11300 14682 22862
8,25407 2426 6734 6878 10834 23154 15691 10594 1583 13711
9,10132 9609 19792 5741 15782 25779 13390 5416 3699 811
10,3556 12906 11361 22923 20168 17557 18751 23361 23026 19792
11,22956 3220 7856 4661 12951 15586 11726 8296 12788 16099
12,2823 2281 1592 20211 24546 19291 6235 10380 8593 5447
13,20969 11924 25407 1770 9992 11533 4213 23880 6446 16535
14,3641 18499 20644 21541 18500 16999 20918 555 23309 22617
15,24546 25766 12643 17130 5709 12903 11702 5076 7839 22817
16,7913 21416 921 8400 17514 12684 886 4502 15015 18481
17,19089 9438 17723 20146 25675 5942 12409 12061 2665 20404
18,5032 18793 12048 7267 20300 15778 18649 9769 7448 22385
19,2426 9555 15691 23154 10834 7095 12818 1583 10981 10594
20,8606 5078 23465 25957 15398 5925 15234 13616 25517 6893
21,23778 3875 18788 16803 13138 18901 24366 2646 4224 6298
22,11597 6616 17899 1668 23206 10005 9487 7331 14583 17368
23,6200 16496 988 11293 17836 16577 6454 14835 23562 21355
24,13797 19480 14291 11730 14895 9664 11179 8935 12812 19089
25,7115 983 12844 10640 7405 18574 823 25674 20656 1573
26,23056 867 21975 19781 13707 10530 12983 18692 16245 9591
27,57 5044 17820 8158 24484 5562 21527 6760 14609 16188
28,13424 6551 2233 23020 23835 4411 1393 21327 615 23127
29,14684 19874 5078 25957 16688 21428 13894 5765 5193 17668
30,8544 21552 24621 11384 4966 3835 9243 8920 25662 14715
31,2001 13226 23651 13593 16793 23468 6446 19340 13081 7363
32,1573 18574 9620 290 10640 7115 13868 983 5966 20656
33,10269 25675 9438 5942 12061 17409 22554 9851 10786 25260
34,1959 23324 9520 1803 19007 3477 25839 21624 3658 24546
35,9620 15325 14826 24445 12719 8914 8070 11830 6709 873
36,25407 2426 15691 6734 1583 16928 22848 9701 23141 16906
37,24075 10528 19480 3620 21932 1008 8439 1639 23725 2932
38,1863 21062 8560 12061 4940 24075 13628 7266 14385 25736
39,2178 7321 2220 21872 5497 20820 16648 16871 6139 15187
40,24075 25407 22554 5044 8097 9438 20095 16630 20146 22445
41,8544 14266 17225 17322 14023 22100 9657 19189 11317 24410
42,20553 6612 20544 13663 20095 16630 24070 722 18930 18512
43,23854 8366 15536 8256 1184 12696 8818 3469 966 170
44,17470 5093 8475 25185 23324 7836 12236 11576 14678 916
45,11658 19089 19525 24128 19487 17723 6827 2665 16948 7494
46,23536 13541 4620 15459 6088 23711 19114 18190 11792 10450
47,18852 19326 4032 21912 4738 19281 16124 6369 7993 1700
48,13552 24985 4781 5284 13433 303 14684 13178 16893 4115
49,12585 25253 18549 5787 4302 4528 23846 17287 25925 22242
50,2426 9555 10594 1583 10834 6734 12818 7991 23141 13711
51,24075 25675 10848 10269 22554 5942 23799 19389 10325 7494
52,13194 2919 20375 22056 8268 24355 11449 25009 20199 14767
53,11115 17874 17697 14396 20622 21008 12323 22126 11134 10488
54,25675 3803 7202 18293 19401 20439 19564 15564 22554 10786
55,15562 3058 16197 13138 16218 4064 10910 10601 2122 9243
56,11741 3348 11987 10384 20933 5413 2910 13764 4638 8543
57,25656 11378 6049 24791 2390 75 2436 12421 12922 23136
58,5930 10524 1259 11197 16577 306 2375 12943 625 11705
59,8841 8531 9005 11223 23950 10803 6544 19668 12026 23042
60,3527 6096 12454 11774 13810 175 8295 2237 23975 762
61,8826 14378 6446 24948 17346 1282 12552 8914 16932 22081
62,11527 12759 10311 12214 3775 19150 12914 16394 23895 11812
63,13231 8654 13424 3456 21051 13502 5905 14488 8709 557
