user_id,item_list
0,7908 13884 22445 24573 3301 16541 15968 22171 444 12455
1,6198 19089 12119 20095 23600 12409 16630 8894 19709 3165
2,14353 8877 16333 5593 1565 18003 22865 4401 21613 1353
3,519 16086 825 13592 24075 13209 12157 8561 3942 4750
4,13864 7704 23445 12199 973 23113 9243 5191 9023 25478
5,8097 16172 19152 9301 15150 14706 22517 17819 985 23921
6,24801 10355 4824 8041 25044 3569 13623 21470 19037 24033
7,17332 4314 8104 13840 8499 16251 17822 15633 7646 20620
8,25407 13711 6878 6734 10594 25138 18148 14059 2426 10834
9,15782 5741 3699 9609 25779 19792 1872 10132 5045 6016
10,3556 12906 24567 1302 13280 4462 5478 12563 19177 19893
11,3220 4661 22956 16175 7856 21948 9010 2957 12951 12133
12,9054 2757 3998 13774 17585 5226 20159 479 4793 6235
13,20969 3067 18028 21966 10278 23339 11924 14993 5257 25743
14,3641 18499 20644 555 21541 25649 15944 16999 19033 12584
15,22817 5076 9520 5709 3582 16911 12661 6756 22756 9874
16,18481 15015 6261 22480 17468 204 21310 21530 25585 23647
17,9438 25675 19089 17723 13668 20146 7030 12061 15223 8795
18,5032 13609 19190 23697 18649 18793 20333 23328 20300 12048
19,2426 9555 15691 6327 7095 23154 10834 13711 10981 12818
20,9941 18021 5925 14132 9633 14523 13225 6893 16930 9371
21,23778 18788 3875 13138 16803 24366 18901 9869 8637 12344
22,17899 11597 1668 6616 13494 15330 23206 20163 24144 10072
23,6200 16496 23837 11293 24068 988 17981 7202 3551 25018
24,13797 12812 351 4052 6521 7110 9664 25739 4381 4882
25,12385 16844 983 6749 7115 24452 7405 11909 10848 20656
26,23056 18395 22974 13764 18449 2456 16245 9556 12383 5367
27,5832 57 21527 13615 1993 22270 14609 6760 11681 5044
28,13424 13307 2233 6551 4572 19424 8253 8416 2483 15620
29,16538 2978 14684 19730 16714 19874 2845 13894 25957 9890
30,24458 17718 8544 20229 22588 23018 24621 17762 9368 959
31,2001 13226 23651 2185 19307 3227 13593 18182 7363 15489
32,13868 18574 5671 20341 9789 1573 290 23962 9620 5966
33,10269 25675 9438 17409 12061 5942 22554 25260 8611 21077
34,7581 3658 13860 21870 1959 19007 15253 4168 419 25029
35,8186 32 9620 19173 12719 5948 6006 436 11175 2922
36,2426 25407 1583 16928 6734 15691 22848 10908 17156 16906
37,3620 24075 1008 9187 21551 13144 3647 1100 7053 10528
38,21062 1863 7266 1151 8560 4940 22228 7346 11988 25607
39,20341 1114 23962 4728 14959 9007 2178 17773 23816 9288
40,24075 22554 10035 18293 3551 7395 12923 9438 5942 25260
41,9047 6581 12797 21457 17225 14266 14989 25307 2918 19532
42,24070 12182 1020 20321 20553 18930 11980 18512 16904 12227
43,8818 8366 23854 8256 15536 170 12696 1184 966 4720
44,17470 5093 12741 21975 11900 2659 15186 13405 20658 561
45,2659 12741 21975 19487 16948 13405 561 20658 3448 6676
46,23536 10450 4966 24793 14912 945 19196 13541 25220 4721
47,4032 19326 16124 6954 19281 18852 4738 6369 21912 16290
48,13178 13552 303 4781 5284 556 16893 1712 4115 10749
49,12585 25253 4302 5787 18549 25494 15668 25925 23846 1738
50,2426 9555 10834 10594 1583 7991 13711 12818 6734 6327
51,24075 21773 25675 20022 5942 10325 10848 15130 1623 20642
