user_id,item_list
0,1447 7908 15830 13884 20869 22445 544 24573 20133 3301 5396 16541 6353 15968 17957 22171 17394 444 6548 12455
1,19089 12119 20095 6198 23600 5115 12409 20310 8894 10179 5044 17142 19480 19434 19709 7768 18317 10246 1240 22393
2,22230 14353 14792 8877 6242 16333 17959 5593 2824 1565 8101 18003 17339 22865 17336 4401 23358 21613 25613 1353
3,24075 519 22487 825 3942 16086 12473 13592 18374 13209 11679 12157 7402 8561 11091 4750 20905 8301 16084 6253
4,24472 13864 1611 23445 9243 7704 10997 12199 9295 5191 21632 23113 19843 25478 4927 24693 14271 10793 433 1716
5,8097 15150 7494 19152 19874 22517 20095 23921 4878 16172 25407 985 19089 17819 2459 9301 4257 14706 21812 23602
6,4824 24801 23906 10355 25044 8041 24383 3569 1282 13623 3656 21470 8894 19037 17252 24033 25759 10239 10745 25930
7,11076 17332 4209 4314 18359 13840 2436 8104 2049 16251 7398 20620 21278 8499 23788 17822 4521 15633 5871 9314
8,25407 18148 13711 1014 6734 2045 24069 11991 23154 9231 10594 13345 15691 1800 1583 23857 6878 12933 2426 866
9,10132 15782 14038 3699 5416 5741 22619 5045 9609 6016 13944 1872 4795 20037 18599 5014 19792 18979 14456 12708
10,13280 3556 11384 12906 13016 24567 8272 1302 11361 4462 11404 5478 23919 12563 24896 3575
11,7856 4661 6096 3220 11502 16175 2940 21948 15542 9010 8296 12951 21630 22956 2957 12133
12,2016 9054 11764 2757 12494 3998 19078 13774 24546 17585 20211 5226 4620 20159 22400 479 23711 4793 10450 6235
13,20969 3067 11924 18028 16535 21966 4213 10278 9992 23339 20851 14993 6446 5257 25407 25743 12601 12123 2888 21882
14,20918 3641 18500 20644 18499 555 16999 21541 244 25649 22617 15944 16793 12584 23309 19033 21099 23323
15,24546 22817 12903 3582 13433 22756 11737 16365 11702 23488 17323 6756 8805 1306 5709 9874 20038 18482 17130 5937
16,4502 15015 7913 18481 4209 6261 17305 22480 18693 204 14158 21310 4517 17468 20223 21530 131 25585 5671 23647
17,25675 9301 9438 12119 19089 8611 12061 15150 20146 14837 5942 8795 17723 14333 13118 11949 22554 5571 10786 1068
18,5032 23697 12048 13609 18649 19190 18793 20333 20300 23328 9769 12265 12158 13783 7267 993 22548 76 13424 24064
19,2426 6327 15691 9203 9555 812 7095 24316 23154 10895 10834 8650 13711 4660 1583 9811 10981 18452 5044
20,15234 18021 25 9941 5925 14132 13303 9633 18419 14523 9018 6893 11946 16544 17704 21547 16529 1942 20176 20353
21,16803 18788 21139 23778 18901 3875 13138 24366 6298 9869 7196 8637 18510 12344
22,23206 17899 2404 13494 11597 15330 20163 24144 14583 23289 20911 6616 19350 256 10005 10072 3689 7166 10235
23,16577 24068 17836 23837 16496 17981 15457 2094 14835 1005 988 25018 6200 10247 11293 7202 23562 11959 6454 3547
24,19480 13797 14291 12812 20405 351 17819 4052 11287 6521 14895 7110 5957 9664 13555 4381 9591 16101 3570 25739
25,18574 12385 7115 16844 983 6749 1573 24452 19600 7405 8709 11909 10640 1050 9446 8942 3630 17074 20656 10848
26,23056 18395 10155 22974 13305 18449 10715 13764 13707 2456 16176 5367 867 9556 13730 3751 9278 19131 8524 5691
27,6208 5832 15903 1993 57 22270 5044 6642 7450 15190 8158 13615 14609 8704 17820 7294 14684 10501 20212 15484
28,13424 13307 6551 4572 17043 8253 18998 8416 23056 2233 18031 2483 23020 4452 25481 15620 12840 14291 8544 4179
29,14684 16538 19874 2978 25957 19730 21428 2845 17668 16714 21159 9890 24355 9664 4502 1728 18512 17630 10418 7065
30,8544 24458 21552 17718 24621 23018 3835 17762 2996 959 1427 9368 19893 7165 4966 20229 14715 21907 13074 18853
31,2001 19307 13226 3227 13593 2185 23651 18182 23468 15489 13081 12256 14056 24878 23623 7177 13314 24513 19340 6200
