user_id,item_list
0,19578 1447 445 4927 15114 13219 6340 12543 15830 5161 20869 5593 11310 16295 20761 6915 8078
1,19089 15878 20095 4257 23600 8431 12409 23070 19480 3165 24075 24128 5044 14648 8894 16630
2,17959 5396 22230 6242 14792 2824 575 4842 9549 17339 17336 13251
3,24075 22487 3942 12473 11679 11681 6649 17578 14446 19572
4,9243 14271 24472 9295 1611 9578 10997 3891 21632 16767 4927 19843 433 24175 17024
5,8097 5593 7494 8695 25407 16172 19874 9489 4878 5078 20095 2459 8322 21812
6,25044 23906 4824 1282 24383 10745 25759 16443 3656 3016 17252 17160 8894
7,2049 20148 4209 23923 11076 24919 2436 23568 18359 22001 14266 17336 7398 21278 25632 23788 8544
8,25407 14059 13711 13629 6734 10560 24069 3957 23154 15499 1583 19056 10594 13143 15691 6878 2426
9,10132 5416 14038 811 9609 23608 13944 4795 18599 19792 22619 7991 14456
10,13280 3556 11361 12906 13016 25868 8272 9934 11404 23265 10151 15195 19107 5690
11,7856 2957 15542 22956 21630 654 3220 8502 16099 17668 25621 4293 25250 6096
12,11764 2016 20211 2823 1592 2281 4620 24546 7575 10380 21854 8593
13,20969 11924 4213 1770 16535 11533 20851 9992 3382 10908 1131 25138 25407 23880 6446 14158
14,16999 18499 20918 22617 18500 244 3641 23309 16793 21099 19103 12254
15,11737 5076 9520 14964 13433 24546 13747 23656 17130 12903 22622 11702 5709 1745 19281
16,4502 921 7913 12684 21526 8400 17305 17514 21416 886 131 4209 11459 14158 21909
17,9438 19792 25675 15571 19089 22121 12061 20404 5942 24858 17723 19240 20146 15001 13118 2349 9851 17339 22554 17257
18,5032 18649 12048 18793 20300 7267 12158 15778 9769 5914 22548 740
19,2426 9555 15691 7095 23154 10834 13711 12818 10981 1583 19468
20,15234 5925 25 18419 13303 9018 11946 25957 17704 13616 15903 15398 22306 23465
21,16803 13138 3875 18901 21139 18788 23778 6298 18510 2646 7196
22,20911 11597 2404 6616 9487 10005 20163 17899 19350 3689 1418 10235 23206 7331 9824
23,11293 16496 16577 6200 15457 17836 14835 988 6454 6446 25738 21355
24,19480 14291 20405 19049 14895 1258 9591 8183 5957 6551 13555 6650 11287 5728 6554 1185 18266 11730
25,19600 7115 983 25674 18574 16818 1573 16954 10640 12844 9446 4907 823 1635 8709
26,23056 5257 13305 14602 10155 13516 10715 8112 16176 5366 13707 8842 15518 15271 9278 3188 867 5470 13730 2437
27,6208 5044 14609 8158 57 17820 15903 6760 14684 5562 18122 19040 7450 25242
28,13424 1393 6551 21327 18998 23020 17043 615 23056 4411 12511 23127 9243 6964
29,14684 23154 19874 13711 25957 16688 21428 13894 21159 16100 17668 9336 17276 5765 4502 22500 24355 1399
30,8544 25662 24621 21552 3835 8920 19893 13947 11384 4966 17850
31,2001 13226 23651 13593 13081 23468 2722 6446 16793 9312 23623 17317
32,18574 1573 9789 9620 5671 7115 20087 10640 14711 5966 21966 823 25650 7870
33,10269 10953 25675 14152 9438 23780 12061 4475 5942 18392 22554 25260 10786 1783 9851 23127
34,15240 1959 22997 23324 1803 9520 14413 3477 21677 14300 19007 12547 19912
35,12719 9620 1895 24948 9085 5497 712 11830 18882 10590 23430 22023 16641 1290 14272 15325 13078 9830
36,25407 2426 1583 3812 6734 15691 22848 24002 16928 22840 6878 8990 9701 8886 23141 16772
37,24075 10528 19480 17065 18456 4766 20274 271 21660 8439 2235 17474 13878 23725 10009 2932 7150 21932
38,1863 21062 8560 6610 4940 25736 1947 23711 21552 7971 20711 14318 4511 5396 14385 18122
39,2178 7321 3908 5497 20820 16871 13934 16648 15666 2220 21326 21872 15187 6139
40,24075 21042 22554 306 9438 22445 5942 22731 25407 8894 12923 1583 18293 15691 10834 20146 8097 10269
41,14023 24733 8544 2271 14266 992 24410 9018 21342 20553 2436 10073 19922 21085 16116 2761 19189 4625
42,13663 20553 588 6612 24209 23274 25407 20544 22500 16626 20146 722 19089 11737
43,3469 20122 11987 359 1639 25957 3835 21428 780 24411 10717 4564 23520 13743 4627 10230 610 19246 23865
44,5093 17470 25209 7836 8475 12236 14678 17462 9438 916 23044 10269 3214 11726
45,17968 11658 8431 24128 19089 23244 12466 2665 19525 17723 24300 16282 7494 10572 22406
46,24075 23536 6088 22730 13541 14418 4620 10269 23711 18814 22554 17844 19114 15459 11792 5446
47,18852 21912 19326 4738 4032 6369 19281 1700 16998 13696 23975 14633
48,19874 24985 13552 13433 14684 5284 18419 4781 24355 10626 21071 11388 10073 22001
49,5787 12585 25253 18549 17320 17316 17317 17314 17318 17322
50,2426 9555 10834 1583 10594 12818 7095 23141 13711 7494 6734 10981
51,24075 10848 25675 19389 22554 10325 5942 7115 10269 9620 23799 9437 6374 22294 19401 21140 23035 7870 1888 3215
52,24355 20375 14684 8268 19826 2919 5467 14279 16029 25957 1633 22056 12841 364 11114 2072 6464 875
53,14354 1022 18499 13624 14396 12323 13294 14086 12730 20622 23816 4147 22745 18509 4337 5763
54,25675 3803 22788 20439 20818 16420 15245 7202 19401 12923 18293 9438
55,15562 3058 10601 13138 10910 16218 23898 7086 11114 16241 24967 7658 25182 25458 4809 2297
56,18351 6460 13466 57 4083 4779 23258 13764 20401 8811 24846 5119 25064 25046
57,25656 2436 2390 24791 6049 11378 12421 75 12922 16413
58,11197 5930 306 16577 12943 17994 625 10827 25133 6412 11316 10524 6672
59,8841 20301 6544 21793 18554 8531 23950 10803 12026 11223 19668 9005 2209
60,3214 5746 3527 20341 11774 10638 23975 6096 175 2237 4229 12454 4888 1912 8475
61,14378 8826 20571 6446 12552 22081 16932 6397 9190 24948 24189 20410 2280
62,10753 25407 16394 2426 8097 11991 12759 18227 12214 23004 12914 681 3775 10311 15234 23895
63,13231 8709 15493 3456 8654 13424 5905 14488 16941 13502
64,23741 17723 12104 20458 654 20863 17951 4410 5491 12347 6060 2427
65,11674 16850 24163 3840 15448 2182 17463 3216 25040 25255 7153 7117
