user_id,item_list
0,7838 1447 17957 9205 20816 1447 25878 4927 11310 7908
1,19089 20095 23600 12409 8894 1240 23244 23600 20173 12119
2,22230 6242 8101 11548 5396 3164 18790 6662 14031 14353
3,24075 22487 3942 21552 18374 17820 24093 57 12473 519
4,9243 4927 1611 10979 24472 9243 1611 4927 14012 5191
5,8097 7494 20095 25407 19089 14706 7013 11535 12214 16172
6,4824 24383 25044 1282 17252 25044 24383 24994 1848 426
7,9723 25429 7398 1124 23568 19189 4209 16257 20859 17332
8,25407 15691 6734 13711 10594 6878 1583 21123 624 14059
9,10132 14038 5416 9609 22619 13615 19524 15562 13944 3699
10,13280 3556 13016 12906 8272 3556 19792 11384 23361 24567
11,2940 8296 7856 6096 1817 16264 22956 9690 25621 16175
12,2016 11764 19078 24546 20211 2823 2281 1592 1730 9054
13,9992 20969 4213 11924 16535 20969 19468 2236 3382 14993
14,18499 244 3641 16793 22617 13508 11848 18859 18500 20644
15,11702 11737 24546 13747 17130 25766 7839 24546 12903 22756
16,4502 18693 7913 2159 8817 7913 7883 20695 21471 18481
17,25675 9438 19089 12061 20146 20404 15182 22616 926 9301
18,5032 12048 18793 20300 919 18793 12048 15182 10847 23697
19,2426 9555 15691 23154 7095 10981 9555 7095 2551 6327
20,15234 5925 25 16529 9018 15234 5078 20626 18584 6893
21,18788 16803 18901 6298 13138 13138 4825 21030 2489 3875
22,14583 2404 20163 10235 2126 10005 11597 6616 12525 17899
23,17836 16496 16577 15457 11293 16577 17143 2570 6200 21806
24,19480 12968 14895 6554 14291 14291 13310 20108 2261 13797
25,18574 7115 19600 1573 10640 7115 823 12844 11066 12385
26,23056 10155 9735 5759 21975 10530 23056 13707 12500 13696
27,6208 15903 5044 57 7450 23628 8158 5044 5562 22270
28,6551 17043 13424 18998 23056 6782 18632 14507 615 19424
29,19874 14684 17668 4502 25957 5078 2835 25957 826 16774
30,21552 24621 3835 8544 1258 24621 9243 3835 22738 9368
31,2001 13226 13593 23651 23468 13226 2001 10162 19340 15489
32,18574 9789 1573 5671 20087 1573 983 9620 290 20341
33,10269 25675 9438 12061 22554 10544 13424 9662 20204 17409
34,20066 15240 22997 23324 21677 3177 1803 1205 25839 7581
35,12719 9620 712 16478 16641 9620 823 5966 25974 5948
36,25407 2426 6734 1583 15691 22848 20410 23141 16928 9592
37,20274 19480 10528 24075 13878 19480 14163 13224 4433 3647
38,1863 8560 21062 21552 4940 8560 14385 1960 10786 7266
39,2178 7321 15666 3908 24524 8990 13552 22554 6139 1114
40,24075 22554 9438 25407 10834 10834 5044 8894 5563 17651
41,14023 8544 24410 19922 19900 19189 16218 3228 9617 13339
42,6612 24209 20146 19089 25407 13663 9769 6612 13355 20321
43,3469 11987 4627 17534 780 21468 610 5122 4513 12696
