user_id,item_list
0,1447 25878 4927 9851 15830 454 2706 11729 20451 13797
1,1240 23244 23600 25679 16282 3397 20173 22853 3165 6964
2,3164 18790 6662 19899 20928 991 13144 25489 1007 13658
3,17820 24093 57 5412 24109 16857 18569 9187 16084 9591
4,9243 1611 4927 11384 20729 8704 19704 433 11796 10887
5,14706 7013 11535 17819 9701 16172 7896 7742 13018 10781
6,25044 24383 24994 20325 19626 3382 11645 16195 12227 11578
7,19189 4209 16257 341 17305 22862 12566 23534 10979 20955
8,6878 1583 21123 13711 11834 18126 17522 18392 12319 2551
9,13615 19524 15562 14978 17760 9609 23799 9591 9637 20988
10,3556 19792 11384 660 23026 22923 23361 14657 15562 3070
11,16264 22956 9690 11502 7856 13107 8296 14479 3220 12788
12,2823 2281 1592 24546 20211 9526 14413 19007 8593 2216
13,20969 19468 2236 11533 17229 12601 681 15562 6446 15729
14,13508 11848 18859 16641 14354 20644 8529 2190 8896 8826
15,25766 7839 24546 12643 24985 7604 13433 1205 11623 20857
16,7913 7883 20695 5362 4417 21943 12214 9934 10792 10779
17,20404 15182 22616 6933 7150 51 19826 9662 19426 23844
18,18793 12048 15182 5032 20300 740 7267 7472 16172 22548
19,10981 9555 7095 4878 12818 25738 7991 8249 9370 25596
20,15234 5078 20626 17787 13228 23707 359 19235 12710 18399
21,13138 4825 21030 21492 23989 13294 24038 25224 2922 2811
22,10005 11597 6616 17899 2404 23206 7331 2126 3689 16347
23,16577 17143 2570 18282 22236 6713 19994 4841 9017 15
24,14291 13310 20108 14895 19709 4119 8704 7277 10172 16179
25,7115 823 12844 194 8131 4066 983 7063 3921 9637
26,10530 23056 13707 477 14271 21975 22588 11518 1611 4927
27,23628 8158 5044 17820 3572 6208 3934 5562 24484 3711
28,6782 18632 14507 7451 433 11076 6551 5484 21975 10789
29,5078 2835 25957 23064 4888 11242 7030 15562 16324 25209
30,24621 9243 3835 14715 21975 1825 11384 21552 4209 23056
31,13226 2001 10162 23651 17013 23468 11121 16793 19340 22226
32,1573 983 9620 6878 7115 290 2643 9759 24002 19319
33,10544 13424 9662 974 21954 8682 7658 16941 15592 18392
34,3177 1803 1205 21677 17759 25766 14104 1712 16011 12230
35,9620 823 5966 7355 12844 364 14643 18419 2706 983
36,22848 20410 23141 6734 861 25738 21355 20 8990 1436
37,19480 14163 13224 22836 3165 16562 13797 3934 19524 5562
38,8560 14385 1960 13628 1863 19822 1947 15434 11549 18331
39,8990 13552 22554 12601 13118 68 5746 24850 20410 5942
40,10834 5044 8894 12914 18317 10035 2492 3397 22445 19709
41,19189 16218 3228 13080 12566 7883 17305 11089 11408 8524
42,13663 9769 6612 17819 21697 20553 2761 2232 7883 17787
43,21468 610 5122 12352 20453 7507 2540 17534 5567 4051
44,14356 4878 23324 24839 17313 20239 13170 16011 21085 13433
45,19525 11658 7494 25873 19792 6198 12236 17723 8894 19524
46,22730 1578 2267 17733 5672 5985 17916 25630 6927 12220
47,18852 7839 7993 19007 21912 25200 158 19281 4032 4738
48,5284 24985 4781 13552 7913 12268 16734 10626 13573 13433
49,23799 24839 17374 20301 5283 21629 22653 7836 18343 16124
50,12818 1583 10594 13711 9555 7494 8316 23141 19709 1463
51,24653 16195 14731 7094 18432 357 1819 21233 2374 12567
52,8268 6329 7919 2274 25009 20544 20553 15562 10418 2665
53,8529 18404 18499 19005 3497 23426 4147 14155 12662 19166
54,7202 19401 3803 15564 19564 20439 24069 12409 5676 18293
55,15562 19518 10530 5084 9243 592 17558 3199 2746 23864
56,4083 12004 10384 20401 20661 6506 4638 13764 11741 275
57,2436 24791 11378 6049 75 2390 25656 8251 16651 9701
58,11197 12601 16577 5930 306 22731 3913 19585 14356 17877
59,20301 14485 22554 3931 19668 8531 16770 17810 11223 10803
60,19281 20889 17759 8002 11710 8687 16911 24179 14035 13433
61,6446 8826 7115 10653 15196 5497 24948 11535 13944 10590
