user_id,item_list
0,5085 8486 1789 19062 4927 1447 25878 6961 15114 14462
1,23600 12409 19089 19709 8894 8431 23244 3165 17257 20173
2,15427 14031 21626 9547 2824 4842 11548 13251 9549 20323
3,12473 6649 22487 3942 16834 7749 9528 3 2074 15833
4,1611 9243 19843 9578 9295 12474 19704 4294 18560 6980
5,8097 8322 7494 11535 12602 18399 2459 11517 12600 16246
6,23906 25044 4824 13102 1136 18173 1848 14356 1246 19166
7,4209 7398 17336 23923 24919 20148 11076 18359 23788 133
8,6878 21123 24670 624 19056 13629 10560 13143 3957 15499
9,9609 14038 19057 15562 7995 19346 8785 15318 5016 3523
10,12906 3556 11361 15195 11404 13280 22923 23361 23026 13016
11,22956 7856 21630 2957 16099 4293 12788 6015 20334 19290
12,2823 7796 1592 2173 20211 24007 12494 2281 18146 5546
13,20969 15304 1770 17229 6446 24318 16535 19468 8799 19158
14,18500 13169 15748 21375 20644 16728 3641 1282 20918 16999
15,12903 12643 1205 4025 2099 11851 16796 21419 3946 19055
16,7913 17514 12684 8400 921 21416 886 20695 4417 4571
17,5942 17723 12409 9438 20404 20146 18687 15001 24858 19240
18,12048 22385 18793 7472 5032 10847 18649 20300 7267 13834
19,7991 16928 9555 2426 7095 10981 15691 4878 12818 23154
20,15398 23465 13616 8606 24785 18645 15234 15988 6890 25957
21,18901 23778 16803 18788 3875 13138 24038 21139 6298 612
22,6616 3689 10005 17899 11597 10235 7331 23206 20911 1668
23,988 6200 17836 16496 11293 6454 17143 23562 9017 22236
24,14291 13310 6551 24208 2261 5227 15695 18904 24078 24728
25,7115 18684 12844 1133 7055 983 10640 15444 139 823
26,22588 19450 11518 21975 2255 15549 23056 477 9602 13707
27,19357 57 5562 17820 3711 9404 23628 8158 21037 143
28,13424 6551 23020 615 1393 3376 12511 23056 21327 4411
29,5078 25957 9336 5765 3755 5193 21428 16688 14684 10418
30,11384 24621 8544 18274 1480 25662 16547 18560 5795 22738
31,2001 13226 23651 23468 13593 23593 19340 10162 16793 9123
32,9620 1573 10640 18574 290 983 7115 12245 11130 11167
33,10269 4475 9438 25675 9851 14152 23780 10953 5942 21954
34,1803 21677 4127 5446 1700 21505 2920 3477 17323 22997
35,9620 23430 823 12844 13078 10640 9863 139 6018 24256
36,1583 25407 2426 15691 22848 16928 624 9701 23141 6734
37,24075 10528 23725 17474 271 12365 1504 4433 517 15875
38,1863 24257 21062 14385 19822 15434 13628 25736 180 4560
39,6139 21872 16648 2220 7321 2178 24524 16871 5497 20820
40,22554 25260 10786 306 24075 20238 22445 12389 8097 22731
41,7059 1957 10716 4625 5665 1041 2271 2951 1017 14023
42,13870 722 16626 20553 20544 13663 17787 5952 11091 11533
43,5466 16957 19112 1252 21468 20884 780 3469 610 3407
44,5093 17470 8475 16473 3214 20239 6085 19886 5876 23324
45,11658 21049 19525 19487 12648 22638 12872 11904 9361 25873
46,9029 23536 4620 18190 15459 13541 3983 11792 10450 23711
47,18852 21912 4032 19326 19281 6369 23975 17340 7993 16124
48,4781 24985 5284 13552 10626 21071 10418 19874 14137 11664
49,18549 5787 25253 12585 17320 17316 17317 17314 17318 17322
50,9555 2426 1583 12818 10594 23141 10834 7991 7494 10981
51,10848 10325 23799 24075 11731 1819 19079 11941 3176 5906
52,20375 2919 2072 20544 9211 9291 20553 23077 13194 3766
53,8529 18499 19005 18644 14396 16758 6014 18721 18404 20622
54,3803 20439 7202 15564 19401 12755 21362 605 14595 18192
55,15562 13138 19854 675 4064 25229 3058 10601 10910 16218
56,10384 4083 21717 20401 20933 16342 5413 4638 20661 6506
57,23439 2390 25656 6049 11378 75 24791 2436 12922 12421
58,5930 11197 625 17994 16577 12601 12943 5495 22324 19698
59,8841 23950 23042 9005 6544 19668 10803 11223 8531 17362
60,175 2237 6096 12454 10638 9379 24855 12490 12633 16309
61,14378 6397 16932 22081 9333 23974 168 15098 5986 10517
62,10311 8675 11527 16394 7946 3775 21542 6428 25484 9370
63,3456 8654 7940 21051 5905 13729 10931 4362 16221 22857
64,23741 20458 2427 17723 14401 20083 11802 12347 17262 6206
65,16850 16416 2182 8587 8081 11674 4156 11873 18959 19584
66,17858 21799 16273 20079 2533 16083 6517 5906 24227 13072
67,19796 9822 22057 18462 18574 5966 10480 3386 8148 1685
68,18190 2333 6088 3983 9029 23711 16805 10142 16576 22356
69,7583 10919 2317 25932 8971 7539 9787 2645 9157 16817
70,4390 12254 10162 25044 16802 8990 14356 3812 22594 10653
71,2940 1621 11064 18778 17400 21052 21349 14684 17668 13421
72,22645 1863 22483 2996 24340 18331 23266 18528 13628 21854
73,4502 23521 18419 15915 14584 18462 5185 17828 16849 15844
74,439 5913 14104 1638 7183 7874 9407 20403 16843 11610
75,13555 21590 11072 1034 11328 23533 2751 9339 22413 2619
76,3215 17877 3396 2733 8249 10779 17070 9701 3321 10834
77,25387 7540 21488 15377 6069 22715 4081 20083 11802 471
78,20431 3337 6969 10007 24793 6437 18766 12393 8400 16065
79,10269 9438 5284 25675 10335 20038 9851 24985 5942 341
80,11546 6361 15541 24092 24978 17480 12592 19797 19725 22271
81,22554 25491 2344 24075 17327 13180 6676 7124 8471 19401
82,23427 10785 22524 9542 3825 1535 12180 8311 3148 14915
83,16928 9555 2426 16906 1583 23154 23141 7991 7727 5044
84,23127 9284 13920 20943 20496 2300 10191 13219 17228 1532
85,3580 5952 4366 13953 24278 2384 8360 2478 5537 14580
86,16779 15161 6446 8955 11951 12945 14776 8249 12601 7105
87,2001 23468 6446 13081 16793 8249 21021 2888 18798 8972
88,9851 9438 8811 16321 10269 357 25848 16268 17844 17025
89,11785 8164 9496 7816 4683 14193 14835 17866 301 8037
90,4620 8285 23933 5717 13250 21988 1564 454 9742 2432
91,13102 15468 25044 18173 16758 19315 22592 13020 1848 14356
92,12409 19480 2665 20146 19709 16630 7494 17723 14291 23481
93,10269 11945 19890 7550 9438 19864 4147 6835 13018 16223
94,14016 7507 10788 22602 309 5466 7838 21468 15587 4929
95,14413 9526 21264 8593 15693 2216 23021 25307 6630 18873
96,17229 3613 6698 4909 10885 19468 2715 5218 10294 9190
97,12554 1486 19874 4502 24355 18419 10418 20308 13708 1808
98,19874 5581 4257 17668 4502 24355 15234 12319 10418 17662
99,7541 18512 18121 17130 5283 2219 25339 5915 8626 13170
100,5464 18886 4766 21433 10808 2902 22177 4431 25129 1930
101,21297 16772 10340 19468 20325 11649 21446 2986 17229 7511
102,22484 13057 19596 13912 6232 6621 17373 883 6359 9015
103,19781 17065 6547 867 11518 21365 17665 18692 21150 22872
104,14684 19874 11550 10581 10418 9057 9574 728 24355 4182
105,19620 7202 23485 10490 8222 15678 11093 3803 15790 22750
106,23299 23127 12056 8977 23194 9731 13985 2973 12944 11302
107,1863 20629 19084 20711 22645 8560 12583 11549 24208 1947
108,24747 18544 173 14356 19438 15206 10609 22453 23688 2243
109,484 7363 13226 4664 970 20688 10162 12254 19799 1685
110,15196 5150 15642 8432 1095 17546 1 19973 9511 12223
111,5589 13343 5300 12230 2237 5915 17374 7907 1205 10852
112,10269 20320 25950 598 14330 16191 20587 2526 16790 23352
113,23723 5574 15563 16987 24655 10328 9241 9238 13424 1928
114,14100 11260 25092 18054 14268 73 1166 23033 22696 15161
115,7944 25779 22554 25260 13831 5154 9609 13615 10786 24075
116,11820 14356 17093 15196 17364 16800 4554 159 25058 25757
117,17803 25331 25863 8773 1250 15821 17666 16066 16891 24134
118,23086 12162 15183 2835 25484 11527 19150 20508 15152 18813
119,13046 12470 13353 16704 12202 17176 4435 5010 10226 7913
120,18987 21035 10585 10996 11979 6666 5929 25966 11581 1258
121,9406 22393 19205 6950 9270 17163 16195 3942 20023 8693
122,23324 14401 12492 2099 11853 2517 24559 7091 21671 8687
123,21061 8337 1869 16880 502 1472 13861 13887 3630 4147
124,9386 2090 13918 2868 22646 4324 5498 10142 17045 14912
125,17668 828 23221 8637 21948 2416 9516 6502 14684 10418
126,10597 3721 2581 14437 24619 13203 25255 6717 18959 8559
127,10085 18211 7926 6728 23531 18329 132 22881 16570 6043
128,9851 10269 15034 5722 9438 13118 25675 15564 7992 21998
129,18708 861 14045 25693 11939 4548 4133 19190 9930 24316
130,7818 25766 10347 9463 3177 21248 20857 11620 16124 21624
131,7459 308 9905 25878 15302 5020 715 18819 1167 23700
132,341 20719 4694 11701 1579 18137 17059 7109 14820 11039
133,5415 21631 14266 4381 23155 11159 22862 10276 846 22189
134,14328 22731 21042 12702 19194 10617 13294 10951 7271 13303
135,16447 25440 23333 24746 9529 25544 11841 6843 23242 72
136,13433 23145 18459 10400 14678 13450 294 11550 15240 22844
137,16726 3579 15733 23405 12953 10782 8339 23913 19406 7053
138,10679 1901 25613 25226 16510 10113 16568 15592 25028 4796
139,9347 10391 4463 21064 2491 22102 7012 18837 23914 17800
140,12861 17180 13433 6112 4230 14066 11889 16096 9045 21153
141,5078 3916 21912 4032 17637 14386 6652 11083 6369 2304
142,20146 19480 23600 9851 19781 14895 13118 1745 25675 8894
143,14889 9708 8334 7452 11739 2939 177 11584 15187 16577
144,12409 19089 17723 20146 7494 19709 14895 2665 16630 7539
145,18119 6950 9591 19935 17217 22845 2879 360 18448 4100
146,24075 5942 1888 19308 22554 25675 16892 12128 3502 14231
147,3497 14141 20422 6845 5930 13861 2374 18832 18684 19733
148,23154 7333 13381 5607 9322 9017 17546 18636 18392 7796
149,9243 12734 364 9951 6599 19545 12056 21583 6108 21653
150,17723 19089 20146 19709 23600 24128 23244 13352 22853 20173
151,5628 3169 6356 11284 23568 22657 6908 14751 14978 7842
152,8828 7635 13902 18263 16537 7175 1830 7556 12214 2061
153,9195 21393 16340 14848 19165 5683 17960 25634 10396 15783
154,17320 9140 1225 9145 18484 9194 21013 9230 25622 20923
155,12365 12056 23457 21653 6109 6662 8572 18025 309 10793
156,18452 2492 15691 24670 16906 10981 25407 1583 7537 3230
157,19532 24188 9475 23267 2174 24687 17884 3855 4694 21596
158,5150 3261 15196 18367 2370 14963 1175 6830 22759 24827
159,22151 6425 20510 20919 4447 14799 15119 3133 7030 17119
160,4871 12601 625 3913 21355 15331 306 6047 17104 12936
161,17240 12574 414 16978 8026 9341 3827 16420 6950 24146
162,3473 12875 22307 22610 19773 8589 23650 22710 18591 20186
163,25197 14641 166 11832 10625 18394 6952 18541 6291 10109
164,8322 1577 8089 14706 12978 1240 11535 7013 9666 17819
165,24621 8704 12061 11072 10786 14645 1545 11317 24410 16471
166,7277 12273 10306 3027 21763 25081 8364 10679 12103 14166
167,6878 13136 5 22651 4980 1056 16738 1619 12933 22669
168,17320 17321 17317 17318 17319 17315 17324 17323 17313 17322
169,7494 15691 7991 25407 23154 10594 10834 2426 16906 1583
170,4366 14580 16402 24750 20633 15976 17951 2384 25769 19641
171,4512 7202 23424 20802 15564 12923 14925 22189 10789 4241
172,24224 18380 16896 16109 5917 10252 3185 18078 5107 24342
173,17209 16854 13136 9733 20863 17457 22651 4980 3264 5669
174,20999 16651 2434 166 2083 1770 7284 4422 5438 25082
175,7632 23530 25517 16667 20626 25957 10801 10932 13374 7308
176,23127 18528 6004 2839 24575 9284 21854 12061 9218 9315
177,6734 10594 624 19655 5607 1583 25407 9555 17143 10834
178,22657 6599 4383 17739 10935 10385 7446 14751 12276 7692
179,15343 9456 19720 20977 21478 8129 3429 17016 8452 22681
180,2579 20074 23832 3423 7395 14876 4338 2597 7570 7130
181,8251 20108 20109 8704 10269 23720 1447 14895 21379 10935
182,3261 17517 14554 18367 15903 22075 4118 20460 5150 19973
183,23600 9664 19709 12409 23481 17723 17760 5522 20146 3165
184,15749 16231 15873 14654 9683 12351 15844 16394 20651 4629
185,5250 3185 6363 5673 653 21255 4500 15072 19665 14084
186,7553 8322 1533 16394 6831 5979 15349 18647 3215 13465
187,10747 2825 19518 22609 18084 22474 1254 16489 592 13444
188,11748 24577 8649 9017 17247 1095 23895 11823 17451 24280
189,16772 17229 5044 1577 15729 4909 25187 8097 3736 20284
190,666 10345 25638 5148 15730 22651 16574 25171 5108 5
191,8373 11613 1040 6242 17905 13690 6282 9167 8691 16375
192,15764 24093 5412 8304 3997 14865 17820 4803 24109 6897
193,3656 484 13760 18404 25735 23468 23651 11848 20688 18305
194,13348 18259 11367 24566 6686 1538 18207 5586 16542 23216
195,10020 22140 18503 14437 3367 21011 23076 21350 9816 21840
196,24383 19985 5387 4048 10917 11393 16836 6900 10021 25824
