user_id,item_list
0,7838 1447 17957 9205 20816 308 12681 17394 18507 15587
1,19089 20095 23600 12409 8894 18317 19709 3165 24075 19480
2,22230 6242 8101 11548 5396 9549 575 14792 2884 2824
3,24075 22487 3942 21552 18374 11091 20905 11679 6649 16084
4,9243 4927 1611 10979 24472 19843 433 14593 613 9295
5,8097 7494 20095 25407 19089 19874 4878 2665 22121 19709
6,4824 24383 25044 1282 17252 23906 25759 14020 7049 3656
7,9723 25429 7398 1124 23568 2436 11076 4209 3760 10981
8,25407 15691 6734 13711 10594 23154 24069 1583 18404 6878
9,10132 14038 5416 9609 22619 10626 14456 4795 22629 19792
10,13280 3556 13016 12906 8272 12375 18751 21278 23026 13426
11,2940 8296 7856 6096 1817 12890 20001 1469 15542 2957
12,2016 11764 19078 24546 20211 12494 10450 3804 25141 8544
13,9992 20969 4213 11924 16535 2888 8114 23430 23154 2118
14,18499 244 3641 16793 22617 18500 23309 2995 2493 11848
15,11702 11737 24546 13747 17130 12903 20857 19281 25766 13433
16,4502 18693 7913 2159 8817 17623 20223 4209 131 17305
17,25675 9438 19089 12061 20146 5942 22554 17723 13118 9851
18,5032 12048 18793 20300 919 12158 8097 15182 7267 9769
19,2426 9555 15691 23154 7095 10834 1583 10594 13711 7991
20,15234 5925 25 16529 9018 13303 17704 11946 22306 25957
21,18788 16803 18901 6298 13138 7196 3875 21139 18510 23778
22,14583 2404 20163 10235 2126 9824 19350 20911 6616 10005
23,17836 16496 16577 15457 11293 14835 6454 6446 21355 9017
24,19480 12968 14895 6554 14291 6760 20405 11287 17819 3570
25,18574 7115 19600 1573 10640 983 15554 9822 14564 8709
26,23056 10155 9735 5759 21975 21552 10530 13305 11313 7730
27,6208 15903 5044 57 7450 4476 14684 18419 24355 8158
28,6551 17043 13424 18998 23056 25481 12840 18031 19898 10786
29,19874 14684 17668 4502 25957 18512 21159 5078 1399 21428
30,21552 24621 3835 8544 1258 2996 17850 9243 18399 11384
